Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Abbottsford,Wareemba Pharmacy,278 Great North Road,2046,(02) 9713 8629,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Aberglasslyn,TerryWhite Chemmart Aberglasslyn,"Shop1&2, 8 Mckeachie Drive",2320,(02) 4937 6929,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Abermain,Abermain Phar​macy,193 Cessnock Road,2326,(02) 4930 4442,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Adamstown,Wilsons Pharmacy Adamstown,256 Brunker Road,2289,(02) 4957 1817,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Ainslie,Terry White Chemmart Compounding Ainslie,1/17 Edgar Street,2602,(02) 6248 7708​,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Airds,Chemist Warehouse Newbrook Shopping Village Airds,"Shop 3-5, 44 Riverside Drive",2560,(02) 8381 4530,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Albion Park,Albion Park Pharmacy 777,1/167 Tongarra Road,2527,(02) 4256 4610,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Albion Park,Albion Park Rail Pharmacy,191 Princes Highway,2527,(02) 4256 1403,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Albury,Blooms the Chemist Albury West End,14/487 Kiewa Street,2640,(02) 6021 3713,City of Albury,"Urinary tract infection, Oral contraceptive pill"
Albury,Priceline Pharmacy Albury,543 Dean Street,2640,(02) 6021 2714,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Albury,TerryWhite Chemmart Albury City,Shop 12/525 David Street,2640,(02) 6021 6493,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Albury,Gardens Compounding Pharmacy,470 Wodonga Place,2640,(02) 6021 3666,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Albury,Mate Street Pharmacy,1089 Mate Street,2640,(02) 6025 1833,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Alexandria,Chemist Warehouse Alexandria,135-139 McEvoy Street,2015,(02) 9698 2027,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Alexandria,Fountain Street Chemist,"Shop 3, 2-10 Fountain St",2015,(02) 8095 0312,City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Alfords Point,Alfords Point Pharmacy,1/62-64 Coachwood Crescent,2234,(02) 9541 0700,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Allambie Heights,Allambie Compounding Pharmacy,10 Grigor Place,2100,(02) 9451 5461,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Anna Bay,Anna Bay Pharmacy,129 Gan Gan Road,2316,(02) 4982 2490,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Annangrove,Annangrove Pharmacy,3/169 Annangrove Road,2156,(02) 9679 2635,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Appin,Appin Compounding Pharmacy,Shop 2/75 Appin Road,2560,(02) 4631 1488,Wollondilly Shire Council,"Urinary tract infection, Oral contraceptive pill"
Ardlethan,Ardlethan Pharmacy,32A Ariah Street,2665,(02) 6978 2068,Coolamon Shire Council,"Urinary tract infection, Oral contraceptive pill"
Ariah Park,Ariah Park Pharmacy,71 Coolamon St,2665,(02) 6974 1079,Temora Shire Council,"Urinary tract infection, Oral contraceptive pill"
Armidale,Priceline Pharmacy Armidale,210-212 Beardy Street,2350,(02) 6772 0486,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Armidale,Mountview Pharmacy,28A Rockvale Road,2350,(02) 6772 7557,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Armidale,Good Price Pharmacy Warehouse Armidale,Shop 33-34 Armidale Plaza,2350,(02) 6772 3331,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Armidale,GP Discount Pharmacy Armidale,114 Dangar Street,2350,(02) 6771 1234,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Armidale,TerryWhite Chemmart Armidale,"Shop 25, Armidale Central, 225 Beardy Street",2350,(02) 6772 7836,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Armidale,Cincotta Discount Chemist Armidale,90-96 Marsh Street,2350,(02) 6772 2317,Armidale Regional Council,"Urinary tract infection, Oral contraceptive pill"
Arncliffe,Nonee Compounding Chemist,5 Firth Street,2205,(02) 9597 5990,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Artarmon,Chemist Warehouse Artarmon,80 Hampden Road,2064,(02) 9427 3255,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Artarmon,Nick Logan Pharmacist Advice,96 Hampden Road,2064,(02) 9419 6880,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Ashfield,Chemist Warehouse Ashfield,267-270 Liverpool Road,2131,(02) 9798 6323,Inner West Council,Urinary tract infection
Ashfield,Healthmore Pharmacy,230 Liverpool Road,2131,(02) 9798 5185,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
